Name,AveragePay
Carrier (city),56607.9
Nurse,81392.79
Rural Carrier,55990.23
Miscellaneous Administration And Program,89696.69
Compliance Inspection And Support,42206.86
"Sales,svc/dist Asoc",51596.64
Information Technology Management,103797.95
Ru Car Asc/sv Rg Rt,36977.55
Management And Program Analysis,99869.97
Miscellaneous Clerk And Assistant,42644.48
Criminal Investigation,102780.51
Mail Proc Clk,54455.92
"General Inspection, Investigation, Enfor",83353.81
General Attorney,135290.76
Medical Officer,199446.03
City Carrier Asst1,32956.26
Social Insurance Administration,76333.12
Mail Handler,53132.76
Carrier Technician,54360.05
Contact Representative,50706.03
Customs And Border Protection,80160.3
Border Patrol Enforcement Series,78792.74
Air Traffic Control,127773.46
Correctional Officer,54707.1
Medical Support Assistance,38818.8
Gen Natural Resources Mgt And Bio Sci,90867.26
Forestry Technician,38763.04
General Business And Industry,89122.9
Human Resources Management,91661.22
Practical Nurse,45453.01
Contracting,94408.19
Laborer Custodial,49944.85
Social Work,71478.57
Pse Sales Serv Dis,32012.5
General Health Science,94875.17
Financial Administration And Program,86880.82
Postmaster,71840.77
Veterans Claims Examining,66999.62
Nursing Assistant,36471.31
Custodial Working,32543.1
Pse Mail Proc Clk,32012.24
Supv Cust Svcs,64962.44
Internal Revenue Agent,99056.09
Secretary,50756.4
Tax Examining,47386.28
Health Aid And Technician,42458.63
General Engineering,124399.57
Program Management,134555.35
Pharmacist,111549.96
Patent Examining,109844.17
Accounting,105830.17
Ml Hdlr Equip Oper,56401.95
Social Science,82320.85
Biological Science Technician,40388.9
Psychology,90560.57
Transportation Specialist,96887.9
Maintenance Mechanic,52978.17
Administrative Officer,83791.32
Legal Assistance,52196.21
Lead Ssa,57379.88
Food Service Working,31356.75
City Carrier Asst2,32945.42
Parcel Post Dist-ma,54300.8
Police,61843.21
Budget Analysis,94107.23
Intelligence,100590.66
Financial Institution Examining,123503.73
Security Administration,93673.17
Electronic Tech,65880.34
Financial Clerical And Assistance,45155.55
General Physical Science,116619.12
Paralegal Specialist,78949.3
Park Ranger,59572.67
Auditing,104094.28
Aerospace Engineering,122456.33
Mail Handler Asst,30124.9
Medical Technologist,67434.05
General Legal And Kindred Administration,59004.14
Pharmacy Technician,41781.34
Ru Car Asc/sv Ax Rt,41553.82
Tractor Trailer Op,55617.86
Internal Revenue Officer,81873.72
Mail And File,35237.06
Aviation Safety,111967.04
Loan Specialist,78311.09
Soil Conservation,71536.84
Economist,115162.17
Civil Engineering,93484.45
Chemistry,108715.24
Diagnostic Radiologic Technologist,59726.72
Maint Mech Mpe,60810.21
Dist Window Clk,56603.74
Engineering Technical,69243.12
Environmental Protection Specialist,108742.49
General Expeditor,57095.45
Consumer Safety Inspection,58315.52
Management & Program Clerical & Assistan,50223.71
Public Health Program Specialist,103802.54
Claims Assistance And Examining,43319.21
Supply Clerical And Technician,42239.71
Supv Dist Oper,67894.11
Human Resources Assistance,46558.71
Medical Records Technician,46667.93
Public Affairs,99624.69
Admin And Office Support Student Trainee,31591.94
Food Inspection,44948.43
Consumer Safety,96627.51
Cooking,51919.39
Accounting Technician,47387.63
Statistics,99903.95
General Arts And Information,85447.38
Medical Instrument Technician,55537.55
Health Insurance Administration,106441.79
Maintenance Mech,56563.91
Materials Handler,48719.62
Meteorology,99182.35
Physician Assistant,90870.17
Motor Vehicle Operating,44814.75
Foreign Affairs,120133.46
Electronics Engineering,120265.16
Electronics Technical,81322.36
Medical Supply Aide And Technician,41293.11
Bulk Ml Tech,57505.18
Safety And Occupational Health Managemen,87962.91
Health System Specialist,89493.94
Dietitian And Nutritionist,72417.24
Telecommunications,93368.28
Sales/svcs Assoc,54577.24
Fish Biology,88022.04
Pse Laborer Cust,27136
Hearings And Appeals,103725.66
Education And Vocational Training,71298.82
Microbiology,102730.31
Wildlife Biology,76565.12
Pm Relief Rmpo 2hr,25832.82
Hydrology,93180.69
Ofc Automation Clerical And Assistance,38307.25
Veterinary Medical Science,100502.24
Environmental Engineering,110730.81
Realty,85183.08
Dental Assistant,41651.99
Motor Veh Operator,54925.01
Training Instruction,76126.11
Range Technician,37287.33
Bldg Equip Mech,60992.42
Physical Therapist,80091.78
Purchasing,49296.08
Automotive Tech,53187.94
Legal Instruments Examining,55445.63
Speech Pathology And Audiology,82577.6
Dental Officer,152572.41
Social Science Aid And Technician,41685.06
Laboring,33655.1
General Investigation,86289.13
Forestry,73058.34
Medical Technician,39458.64
